#separator:Comma
#html:false
#notetype:Basic
#deck:MCAT::PsychSoc
#columns:Front,Back,Tags
#tags column:3
"What does Weber's law state about the just-noticeable difference (JND)?","The JND is a constant proportion of the original stimulus intensity, not a fixed amount.","MCAT::PsychSoc::6A::Psychophysics concept::weber_law paraphrase::source"
"In signal detection theory, what are a 'hit' and a 'false alarm'?","A hit is detecting a signal that is present; a false alarm is reporting a signal when none is present. Response criterion shifts the trade-off between them.","MCAT::PsychSoc::6A::SignalDetection concept::signal_detection paraphrase::source"
"What is the absolute threshold of a stimulus?","The minimum stimulus intensity detectable 50% of the time.","MCAT::PsychSoc::6A::Psychophysics"
"What is sensory adaptation?","Decreased responsiveness to a constant, unchanging stimulus over time.","MCAT::PsychSoc::6A::Sensation"
"Which photoreceptors handle color vs. dim-light vision?","Cones handle color and detail in bright light; rods handle dim-light (scotopic) vision and are more numerous.","MCAT::PsychSoc::6A::Vision"
"What is transduction in sensory systems?","Conversion of physical stimulus energy into electrical neural signals.","MCAT::PsychSoc::6A::Sensation"
"Distinguish bottom-up from top-down processing.","Bottom-up builds perception from raw sensory data; top-down uses prior knowledge/expectations to interpret input.","MCAT::PsychSoc::6B::Perception"
"What is the cocktail party effect an example of?","Selective attention: focusing on one stimulus (a voice) while filtering others, yet still detecting salient input like your name.","MCAT::PsychSoc::6B::Attention"
"What is the approximate capacity of short-term/working memory (Miller)?","About 7 plus or minus 2 items; chunking can increase effective capacity.","MCAT::PsychSoc::6B::Memory concept::working_memory paraphrase::source"
"Distinguish proactive from retroactive interference.","Proactive: old information disrupts learning new information. Retroactive: new information disrupts recall of old information.","MCAT::PsychSoc::6B::Memory"
"What is the difference between explicit (declarative) and implicit (procedural) memory?","Explicit is conscious recall of facts/events; implicit is unconscious skills/conditioned responses.","MCAT::PsychSoc::6B::Memory"
"What brain structure is critical for forming new long-term (explicit) memories?","The hippocampus.","MCAT::PsychSoc::6B::Memory"
"Distinguish assimilation from accommodation in Piaget's theory.","Assimilation fits new information into existing schemas; accommodation changes schemas to fit new information.","MCAT::PsychSoc::6B::Cognition"
"What are heuristics, and name the availability heuristic.","Mental shortcuts for judgments; the availability heuristic estimates likelihood by how easily examples come to mind.","MCAT::PsychSoc::6B::Cognition"
"In emotion theory, what does the James-Lange theory propose?","Physiological arousal precedes and causes the experience of emotion (we feel afraid because we tremble).","MCAT::PsychSoc::6C::Emotion"
"What three components make up an emotion?","A physiological response, a behavioral expression, and a cognitive (subjective) experience.","MCAT::PsychSoc::6C::Emotion"
"What division of the autonomic nervous system drives 'fight or flight'?","The sympathetic nervous system.","MCAT::PsychSoc::6C::Stress"
"In classical conditioning, what are the unconditioned stimulus and conditioned stimulus?","The UCS naturally elicits a response (food -> salivation); the CS is a neutral stimulus that, after pairing, elicits a conditioned response (bell -> salivation).","MCAT::PsychSoc::7A::Learning concept::classical_vs_operant paraphrase::source"
"How does negative reinforcement differ from punishment?","Negative reinforcement removes an aversive stimulus to INCREASE a behavior; punishment DECREASES a behavior.","MCAT::PsychSoc::7A::Learning concept::neg_reinforcement paraphrase::source"
"Which reinforcement schedule produces the highest, steadiest response rate and is most resistant to extinction?","Variable-ratio schedules (e.g., gambling).","MCAT::PsychSoc::7A::Learning"
"What is observational learning (per Bandura)?","Learning by watching and imitating models, without direct reinforcement (e.g., the Bobo doll study).","MCAT::PsychSoc::7A::Learning"
"Distinguish a drive-reduction from an incentive theory of motivation.","Drive-reduction: behavior reduces internal tension to restore homeostasis. Incentive: behavior is pulled by external rewards.","MCAT::PsychSoc::7A::Motivation"
"What is the Yerkes-Dodson law?","Performance is best at an intermediate level of arousal; too little or too much arousal impairs performance.","MCAT::PsychSoc::7A::Motivation"
"What did Asch's line studies demonstrate?","Conformity to a unanimous incorrect majority even on an objective task (normative social influence).","MCAT::PsychSoc::7B::Conformity concept::conformity paraphrase::source"
"Distinguish normative from informational social influence.","Normative: conforming to gain approval/avoid rejection. Informational: conforming because others are seen as a source of accurate information.","MCAT::PsychSoc::7B::SocialInfluence"
"What is the difference between conformity and obedience?","Conformity is matching peers' behavior; obedience is following the orders of an authority figure (e.g., Milgram).","MCAT::PsychSoc::7B::SocialInfluence"
"What is deindividuation?","A loss of self-awareness and personal responsibility in groups, often increasing impulsive or deviant behavior.","MCAT::PsychSoc::7B::GroupBehavior"
"What is the fundamental attribution error?","Overattributing others' behavior to disposition/personality while underweighting situational causes.","MCAT::PsychSoc::8B::Attribution concept::fundamental_attribution paraphrase::source"
"Distinguish dispositional from situational attribution.","Dispositional credits internal traits; situational credits external circumstances.","MCAT::PsychSoc::8B::Attribution"
"What is the self-serving bias?","Attributing one's successes to internal factors and failures to external factors.","MCAT::PsychSoc::8B::Attribution"
"What is the difference between a stereotype, prejudice, and discrimination?","Stereotype = belief (cognitive); prejudice = attitude/feeling (affective); discrimination = behavior (acting on it).","MCAT::PsychSoc::8B::Bias"
"What is the mere-exposure effect?","Repeated exposure to a stimulus increases liking for it.","MCAT::PsychSoc::8B::Attitudes"
"What is social facilitation?","The presence of others improves performance on easy/well-learned tasks but impairs it on difficult/novel tasks.","MCAT::PsychSoc::8C::GroupBehavior concept::social_facilitation paraphrase::source"
"What is social loafing?","Individuals exert less effort on a task when working in a group than when working alone.","MCAT::PsychSoc::8C::GroupBehavior"
"What is the bystander effect and the mechanism behind it?","People are less likely to help when others are present, due to diffusion of responsibility.","MCAT::PsychSoc::8C::Prosocial"
"What is group polarization?","Group discussion strengthens the average pre-existing inclination, producing more extreme group decisions.","MCAT::PsychSoc::8C::GroupBehavior"
"What is the difference between an in-group and an out-group?","An in-group is one a person identifies with; an out-group is one they do not, often viewed with bias.","MCAT::PsychSoc::8C::GroupBehavior"
"Define a primary group vs. a secondary group.","Primary groups are small, intimate, and enduring (family); secondary groups are larger, impersonal, and goal-oriented (coworkers).","MCAT::PsychSoc::9A::SocialGroups"
