#separator:Comma
#html:false
#notetype:Basic
#deck:MCAT::BioBiochem
#columns:Front,Back,Tags
#tags column:3
"At physiological pH (~7.4), which three amino acids have basic (positively charged) side chains?","Lysine (K), Arginine (R), and Histidine (H). His has a side-chain pKa near 6, so it is only partially protonated at 7.4.","MCAT::BioBiochem::1A::AminoAcids concept::aa_charge paraphrase::source"
"Which two amino acids have acidic (negatively charged) side chains at physiological pH?","Aspartate (D) and Glutamate (E); their carboxyl side chains are deprotonated at pH 7.4.","MCAT::BioBiochem::1A::AminoAcids"
"Why do nonpolar (hydrophobic) residues tend to cluster in a soluble protein's core?","Burying nonpolar side chains away from water increases the entropy of surrounding water (the hydrophobic effect), stabilizing the fold.","MCAT::BioBiochem::1A::ProteinFolding concept::aa_hydrophobic paraphrase::source"
"Which amino acid is achiral, and which introduces kinks/turns by restricting backbone rotation?","Glycine is achiral (H side chain); proline's ring locks the backbone and disrupts helices.","MCAT::BioBiochem::1A::AminoAcids"
"What level of protein structure is stabilized by hydrogen bonds between backbone atoms (alpha helix, beta sheet)?","Secondary structure.","MCAT::BioBiochem::1A::ProteinStructure"
"What bond covalently links two cysteine residues and stabilizes tertiary/quaternary structure?","A disulfide bond (disulfide bridge) between their thiol (-SH) groups.","MCAT::BioBiochem::1A::ProteinStructure"
"In Michaelis-Menten kinetics, what does Km represent?","The substrate concentration at half of Vmax; a lower Km indicates higher apparent affinity of the enzyme for its substrate.","MCAT::BioBiochem::1A::EnzymeKinetics concept::enzyme_km paraphrase::source"
"How does a competitive inhibitor affect Km and Vmax?","It raises the apparent Km (more substrate needed) but Vmax is unchanged because high substrate outcompetes the inhibitor.","MCAT::BioBiochem::1A::EnzymeKinetics concept::competitive_inhibition paraphrase::source"
"How does a pure noncompetitive inhibitor affect Km and Vmax?","Vmax decreases; Km is unchanged (the inhibitor binds an allosteric site regardless of substrate).","MCAT::BioBiochem::1A::EnzymeKinetics"
"What does a Lineweaver-Burk plot's x-intercept and y-intercept represent?","x-intercept = -1/Km; y-intercept = 1/Vmax.","MCAT::BioBiochem::1A::EnzymeKinetics"
