#separator:Comma
#html:false
#notetype:Basic
#deck:MCAT::ChemPhys
#columns:Front,Back,Tags
#tags column:3
"For projectile motion, how do the horizontal and vertical components of velocity relate?","They are independent: horizontal velocity is constant (no horizontal force), while vertical velocity changes under gravity.","MCAT::ChemPhys::4A::Kinematics concept::projectile paraphrase::source"
"State Newton's second law and its units.","F = ma; force in newtons (N) = kg*m/s^2.","MCAT::ChemPhys::4A::Forces"
"What is the work-energy theorem?","The net work done on an object equals its change in kinetic energy: W_net = dKE.","MCAT::ChemPhys::4A::Energy"
"Write the expressions for kinetic energy and gravitational potential energy near Earth.","KE = 1/2 m v^2; PE = mgh.","MCAT::ChemPhys::4A::Energy"
"What quantity is conserved in all collisions, and what is additionally conserved only in elastic collisions?","Momentum is conserved in all collisions; kinetic energy is additionally conserved only in elastic collisions.","MCAT::ChemPhys::4A::Momentum"
"For an object in uniform circular motion, what is the direction of net force and acceleration?","Toward the center (centripetal); magnitude a = v^2/r.","MCAT::ChemPhys::4A::CircularMotion"
"At terminal velocity, what is the net force on a falling object?","Zero (drag equals gravity), so acceleration is zero and velocity is constant.","MCAT::ChemPhys::4A::Forces"
"Define mechanical advantage for a simple machine.","The factor by which the machine multiplies input force (output force / input force); it trades force for distance, conserving work.","MCAT::ChemPhys::4A::Energy"
"State the continuity equation for an incompressible fluid.","A1*v1 = A2*v2; fluid speeds up where the cross-sectional area narrows.","MCAT::ChemPhys::4B::Fluids"
"According to Bernoulli's principle, how do fluid speed and pressure relate along a streamline?","Where speed is higher, pressure is lower (energy per volume is conserved).","MCAT::ChemPhys::4B::Fluids concept::bernoulli paraphrase::source"
"State the ideal gas law and Boyle's law.","PV = nRT; at constant n and T, P and V are inversely related (Boyle's law).","MCAT::ChemPhys::4B::Gases concept::ideal_gas paraphrase::source"
"What is the buoyant force on a submerged object (Archimedes' principle)?","Equal to the weight of the fluid displaced: F_b = rho_fluid * V_displaced * g.","MCAT::ChemPhys::4B::Fluids"
"How does Pascal's principle apply to a hydraulic lift?","Pressure applied to an enclosed fluid is transmitted undiminished, so a small force on a small piston lifts a large load on a large piston.","MCAT::ChemPhys::4B::Fluids"
"How does the pressure of a static fluid change with depth?","It increases linearly with depth: P = P0 + rho*g*h.","MCAT::ChemPhys::4B::Fluids"
