Front,Back,Source,Tags
Energy,The capacity of one system to do (or be able to do) work on another system.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Kinetic energy,The energy an object possesses due to its motion; the work needed to accelerate it from rest to its current speed.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Potential energy,Energy stored within a physical system due to position or configuration.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Mechanical work,The amount of energy transferred by a force acting over a distance.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Conservation of energy,"The total energy of an isolated system remains constant, although it may change forms.","WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Power,The rate at which work is performed or energy is transferred (energy per unit time).,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Joule,The SI unit of energy.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Watt,"The SI unit of power, equal to one joule per second.","WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Conservative force,A force that does zero net work on a particle that travels along any closed path.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Mechanical advantage,The factor by which a mechanism multiplies the input force.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
